<TICKER>,<NAME>
1790.HK,TIL ENVIRO
1792.HK,CMON
1793.HK,WECON HOLDINGS
1795.HK,YADONG GROUP
1796.HK,METASPACEX
1797.HK,EAST BUY
1798.HK,DATANG RENEW
1799.HK,XINTE ENERGY
18.HK,ORIENTAL E H
180.HK,KADER HOLDINGS
1800.HK,CHINA COMM CONS
1801.HK,INNOVENT BIO
1802.HK,WENYE GROUP
1803.HK,BJ SPORTS ENT
1808.HK,ENTERPRISE DEV
1809.HK,PRINX CHENGSHAN
181.HK,FUJIAN HOLDINGS
1810.HK,XIAOMI W
1811.HK,CGN NEW ENERGY
1812.HK,CHENMING PAPER
1813.HK,KWG GROUP
1815.HK,CSMALL
1816.HK,CGN POWER
1817.HK,MULSANNE GROUP
1818.HK,ZHAOJIN MINING
182.HK,CONCORD NE
1820.HK,PM PACKAGING
1821.HK,ESR
1822.HK,CHINA WOOD INT
1823.HK,HUAYUEXPRESSWAY
1825.HK,STERLING GP
1826.HK,FDB HOLDINGS
1827.HK,MIRICOR
183.HK,WINFULL GP
1830.HK,PERFECT MEDICAL
1831.HK,SHIFANG HLDG
1832.HK,SAI LEISURE
1833.HK,PA GOODDOCTOR
1835.HK,REALWAY CAPITAL
1836.HK,STELLA HOLDINGS
1837.HK,NATURAL FOOD IH
184.HK,KECK SENG INV
1841.HK,APLUS GROUP
1842.HK,GROWN UP GROUP
1843.HK,SNACK EMPIRE
1845.HK,WG ENV TECH
1846.HK,EUROEYES
1847.HK,GHPC
1848.HK,CALC
1849.HK,AM GROUP
185.HK,ZENSUN ENT
1850.HK,HSC RESOURCES
1851.HK,GINGKO EDU
1853.HK,CHUNCHENG HEAT
1854.HK,CHINA WANTIAN
1855.HK,ZONQING LTD
1856.HK,ERNEST BOREL
1857.HK,CEB WATER
1858.HK,CHUNLI MEDICAL
186.HK,NIMBLE HOLDINGS
1860.HK,MOBVISTA
1861.HK,PRECIOUS DRAGON
1862.HK,JINGRUI HLDGS
1865.HK,TRENDZON HLDG
1866.HK,CHINA XLX FERT
1867.HK,STD DEV GROUP
1868.HK,NEO NEON
1869.HK,KAFELAKU COFFEE
187.HK,JINGCHENG MAC
1870.HK,ACME INTL HLDGS
1871.HK,CHINA ORIENTED
1872.HK,GUAN CHAO HLDGS
1873.HK,VIVA BIOTECH
1875.HK,TOT BIOPHARM B
1876.HK,BUD APAC
1877.HK,JUNSHI BIO
1878.HK,SOUTHGOBI
188.HK,SUNWAH KINGSWAY
1880.HK,CTG DUTY FREE
1881.HK,REGAL REIT
1882.HK,HAITIAN INTL
1883.HK,CITIC TELECOM
1884.HK,EPRINT GROUP
1888.HK,KB LAMINATES
1889.HK,SANAI HEALTH GP
189.HK,DONGYUE GROUP
1890.HK,CHINA KEPEI
1891.HK,HENG HUP
1894.HK,HANG YICK HLDGS
1895.HK,XINYUAN PM
1896.HK,MAOYAN ENT
1897.HK,MILLIONHOPE IND
1898.HK,CHINA COAL
1899.HK,XINGDA INTL
19.HK,SWIRE PACIFIC A
1900.HK,CHINA ITS
1901.HK,FEIYANG GROUP
1903.HK,JBB BUILDERS
1905.HK,HAITONG UT
1906.HK,BONNY HLDG
1907.HK,CHINA RISUN GP
1908.HK,C D INTL GROUP
1909.HK,FIRE ROCK NEW
191.HK,LAI SUN INTL
1910.HK,SAMSONITE
1911.HK,CR HOLDINGS
1912.HK,CONTEL
1913.HK,PRADA
1915.HK,TAIHE M FIN
1916.HK,JIANGXI BANK
1917.HK,DOUMOB
1918.HK,SUNAC
1919.HK,COSCO SHIP HOLD
1920.HK,CHINA WACAN
1921.HK,DALIPAL HLDG
1922.HK,RUISEN LIFE SER
1925.HK,KWUNGS AROMA
1927.HK,JIUJIUWANG
1928.HK,SANDS CHINA LTD
1929.HK,CHOW TAI FOOK
193.HK,CAPITAL ESTATE
1930.HK,SHINELONG
1931.HK,IVD MEDICAL
1932.HK,CPM GROUP
1933.HK,ONEFORCE HLDGS
1935.HK,JH EDUCATION
1936.HK,RITAMIX
1937.HK,JIACHEN HOLDING
1938.HK,CHU KONG PIPE
1939.HK,TOKYO CHUO
194.HK,LIU CHONG HING
1940.HK,CGII HLDGS
1941.HK,YE XING GROUP
1942.HK,MOG DIGITECH
1943.HK,KINGS STONE
1945.HK,ZERO2IPO
1947.HK,MEIHAO GROUP
1948.HK,UJU HOLDING
1949.HK,PLATT NERA
195.HK,GREENTECH INTL
1950.HK,DIWANG IND H
1951.HK,JXR
1952.HK,EVEREST MED B
1953.HK,RIMBACO
1955.HK,JOHNSON HLDGS
1957.HK,MBV INTL
1958.HK,BAIC MOTOR
1959.HK,CENT UNIT HLDG
196.HK,HONGHUA GROUP
1960.HK,TBKS HLDGS
1961.HK,INFINITIES TECH
1962.HK,EVERGREEN PG
1963.HK,BCQ
1965.HK,LANDSEA LIFE
1966.HK,CHINA SCE GROUP
1967.HK,CONFIDENCE IN
1968.HK,HINGTEX HLDGS
1969.HK,CHINA CHUNLAI
197.HK,HENG TAI
1970.HK,IMAX CHINA
1971.HK,RSUN SER
1972.HK,SWIREPROPERTIES
1973.HK,TIAN TU CAPITAL
1975.HK,SUN HING PRINT
1977.HK,ANALOGUE HLDGS
1978.HK,LH GROUP
1979.HK,TEN PAO GROUP
1980.HK,TIANGE
1981.HK,CATHAY GP HLDGS
1982.HK,NAMESON HLDGS
1983.HK,LUZHOU BANK
1985.HK,MICROWARE
1986.HK,TSAKER NE
1987.HK,BENG SOON MACH
1988.HK,MINSHENG BANK
199.HK,ITC PROPERTIES
1991.HK,TA YANG GROUP
1993.HK,ASIARAY
1995.HK,ES SERVICES
1996.HK,RSUN PPT
1997.HK,WHARF REIC
1999.HK,MAN WAH HLDGS
2.HK,CLP HOLDINGS
20.HK,SENSETIME W
200.HK,MELCO INTL DEV
2000.HK,SIM TECH
2001.HK,NEW HIGHER EDU
2002.HK,SUNSHINE PAPER
2003.HK,VCREDIT
2005.HK,SSY GROUP
2007.HK,COUNTRY GARDEN
2008.HK,PHOENIX TV
2009.HK,BBMG
201.HK,MAGNIFICENT
2011.HK,GILSTON GROUP
2012.HK,SUNSHINE OIL
2013.HK,WEIMOB INC
2015.HK,LI AUTO W
2016.HK,CZBANK
2017.HK,CHANHIGH
2018.HK,AAC TECH
2019.HK,DEXIN CHINA
202.HK,EVERCHINA INTL
2020.HK,ANTA SPORTS
