<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9040.HK,D,20230807,000000,3.538,3.538,3.538,3.538,0,0
9040.HK,D,20230808,000000,3.466,3.466,3.466,3.466,0,0
9040.HK,D,20230809,000000,3.466,3.466,3.466,3.466,0,0
9040.HK,D,20230810,000000,3.478,3.478,3.478,3.478,0,0
9040.HK,D,20230811,000000,3.436,3.436,3.436,3.436,0,0
9040.HK,D,20230814,000000,3.336,3.364,3.336,3.364,10000,0
9040.HK,D,20230815,000000,3.346,3.346,3.346,3.346,0,0
9040.HK,D,20230816,000000,3.296,3.296,3.296,3.296,0,0
9040.HK,D,20230817,000000,3.296,3.296,3.296,3.296,0,0
9040.HK,D,20230818,000000,3.234,3.234,3.234,3.234,0,0
9040.HK,D,20230821,000000,3.168,3.168,3.168,3.168,0,0
9040.HK,D,20230822,000000,3.198,3.198,3.198,3.198,0,0
9040.HK,D,20230823,000000,3.198,3.198,3.198,3.198,0,0
9040.HK,D,20230824,000000,3.262,3.262,3.262,3.262,0,0
9040.HK,D,20230825,000000,3.23,3.23,3.23,3.23,0,0
9040.HK,D,20230828,000000,3.26,3.266,3.26,3.26,10000,0
9040.HK,D,20230829,000000,3.308,3.308,3.308,3.308,0,0
9040.HK,D,20230830,000000,3.346,3.356,3.308,3.308,70000,0
9040.HK,D,20230831,000000,3.3,3.3,3.3,3.3,0,0
9040.HK,D,20230904,000000,3.41,3.41,3.402,3.41,40000,0
9040.HK,D,20230905,000000,3.37,3.37,3.348,3.348,48500,0
9040.HK,D,20230906,000000,3.34,3.34,3.34,3.34,0,0
9040.HK,D,20230907,000000,3.29,3.29,3.29,3.29,0,0
9040.HK,D,20230911,000000,3.29,3.29,3.29,3.29,0,0
9040.HK,D,20230912,000000,3.276,3.276,3.276,3.276,0,0
9040.HK,D,20230913,000000,3.258,3.258,3.258,3.258,0,0
9040.HK,D,20230914,000000,3.262,3.262,3.262,3.262,0,0
9040.HK,D,20230915,000000,3.292,3.308,3.292,3.292,30000,0
9040.HK,D,20230918,000000,3.24,3.262,3.24,3.254,72800,0
9040.HK,D,20230919,000000,3.238,3.246,3.234,3.246,20000,0
9040.HK,D,20230920,000000,3.228,3.228,3.228,3.228,0,0
9040.HK,D,20230921,000000,3.168,3.168,3.168,3.168,10000,0
9040.HK,D,20230922,000000,3.18,3.254,3.18,3.254,90000,0
9040.HK,D,20230925,000000,3.212,3.212,3.212,3.212,0,0
9040.HK,D,20230926,000000,3.172,3.172,3.172,3.172,0,0
9040.HK,D,20230927,000000,3.172,3.172,3.172,3.172,0,0
9040.HK,D,20230928,000000,3.154,3.154,3.154,3.154,0,0
9040.HK,D,20230929,000000,3.222,3.222,3.222,3.222,0,0
9040.HK,D,20231003,000000,3.134,3.134,3.134,3.134,0,0
9040.HK,D,20231004,000000,3.096,3.096,3.096,3.096,0,0
9040.HK,D,20231005,000000,3.096,3.096,3.096,3.096,0,0
9040.HK,D,20231006,000000,3.14,3.152,3.14,3.152,20000,0
9040.HK,D,20231009,000000,3.156,3.156,3.156,3.156,0,0
9040.HK,D,20231010,000000,3.18,3.18,3.18,3.18,0,0
9040.HK,D,20231011,000000,3.228,3.228,3.228,3.228,0,0
9040.HK,D,20231012,000000,3.282,3.29,3.282,3.29,20000,0
9040.HK,D,20231013,000000,3.192,3.206,3.192,3.192,30000,0
9040.HK,D,20231016,000000,3.188,3.188,3.152,3.152,20000,0
9040.HK,D,20231017,000000,3.178,3.178,3.178,3.178,10000,0
9040.HK,D,20231018,000000,3.156,3.156,3.156,3.156,0,0
9040.HK,D,20231019,000000,3.078,3.088,3.078,3.078,10000,0
9040.HK,D,20231020,000000,3.046,3.046,3.046,3.046,0,0
9040.HK,D,20231024,000000,3.028,3.028,3.028,3.028,0,0
9040.HK,D,20231025,000000,3.112,3.12,3.066,3.066,60000,0
9040.HK,D,20231026,000000,3.05,3.074,3.04,3.056,120000,0
9040.HK,D,20231027,000000,3.086,3.118,3.086,3.118,10000,0
9040.HK,D,20231030,000000,3.114,3.124,3.114,3.124,10000,0
9040.HK,D,20231031,000000,3.1,3.1,3.07,3.076,80000,0
9040.HK,D,20231101,000000,3.072,3.072,3.04,3.056,111700,0
9040.HK,D,20231102,000000,3.064,3.064,3.064,3.064,0,0
9040.HK,D,20231103,000000,3.142,3.142,3.142,3.142,0,0
9040.HK,D,20231106,000000,3.218,3.218,3.218,3.218,0,0
9040.HK,D,20231107,000000,3.186,3.186,3.186,3.186,0,0
9040.HK,D,20231108,000000,3.2,3.2,3.176,3.176,10000,0
9040.HK,D,20231109,000000,3.17,3.17,3.17,3.17,0,0
9040.HK,D,20231110,000000,3.112,3.112,3.112,3.112,0,0
9040.HK,D,20231113,000000,3.144,3.144,3.144,3.144,0,0
9040.HK,D,20231114,000000,3.14,3.14,3.14,3.14,0,0
9040.HK,D,20231115,000000,3.236,3.236,3.236,3.236,0,0
9040.HK,D,20231116,000000,3.206,3.206,3.206,3.206,20000,0
9040.HK,D,20231117,000000,3.148,3.148,3.148,3.148,0,0
9040.HK,D,20231120,000000,3.196,3.196,3.196,3.196,0,0
9040.HK,D,20231121,000000,3.202,3.202,3.202,3.202,0,0
9040.HK,D,20231122,000000,3.202,3.202,3.202,3.202,0,0
9040.HK,D,20231123,000000,3.238,3.238,3.238,3.238,0,0
9040.HK,D,20231124,000000,3.19,3.19,3.19,3.19,0,0
9040.HK,D,20231127,000000,3.19,3.19,3.19,3.19,0,0
9040.HK,D,20231128,000000,3.164,3.164,3.164,3.164,0,0
9040.HK,D,20231129,000000,3.116,3.13,3.116,3.116,20000,0
9040.HK,D,20231130,000000,3.13,3.13,3.13,3.13,0,0
9040.HK,D,20231201,000000,3.132,3.132,3.112,3.112,20000,0
9040.HK,D,20231204,000000,3.096,3.096,3.068,3.068,20000,0
9040.HK,D,20231205,000000,3.002,3.002,3.002,3.002,0,0
9040.HK,D,20231206,000000,3.036,3.056,3.036,3.036,40000,0
9040.HK,D,20231207,000000,3.012,3.012,3.012,3.012,0,0
9040.HK,D,20231208,000000,3.002,3.002,3.002,3.002,0,0
9040.HK,D,20231211,000000,2.98,2.98,2.98,2.98,0,0
9040.HK,D,20231212,000000,3.014,3.014,3.014,3.014,0,0
9040.HK,D,20231213,000000,2.99,2.99,2.99,2.99,0,0
9040.HK,D,20231214,000000,2.99,2.99,2.99,2.99,0,0
9040.HK,D,20231215,000000,3.048,3.048,3.048,3.048,0,0
9040.HK,D,20231218,000000,3.036,3.038,3.03,3.03,40000,0
9040.HK,D,20231219,000000,2.992,3.002,2.992,3.002,20000,0
