<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
6288.HK,D,20140822,000000,23.8628,24.7024,23.8628,24.0104,24895.9623618,0
6288.HK,D,20140825,000000,23.8628,24.0104,23.8129,23.9126,12751.34587836,0
6288.HK,D,20140826,000000,23.8628,24.0602,23.8129,23.8628,21252.577416768,0
6288.HK,D,20140827,000000,23.9126,23.9126,23.9126,23.9126,606.72939492,0
6288.HK,D,20140828,000000,23.9126,23.9126,23.9126,23.9126,910.595521632,0
6288.HK,D,20140829,000000,23.7142,23.7142,23.5158,23.6155,26414.290136856,0
6288.HK,D,20140901,000000,23.6155,23.6155,23.6155,23.6155,0,0
6288.HK,D,20140902,000000,23.6644,23.7142,23.6644,23.7142,6376.174368432,0
6288.HK,D,20140903,000000,24.0104,24.4551,24.0104,24.3564,17610.19533024,0
6288.HK,D,20140904,000000,24.1101,24.3564,24.1101,24.3564,4250.114339952,0
6288.HK,D,20140905,000000,24.3564,24.3564,24.1101,24.1101,27325.888516992,0
6288.HK,D,20140908,000000,23.9615,24.2078,23.9615,24.2078,2125.057169976,0
6288.HK,D,20140910,000000,23.8129,23.8129,23.8129,23.8129,303.866126712,0
6288.HK,D,20140911,000000,23.7631,23.8628,23.7631,23.8628,5769.444973512,0
6288.HK,D,20140912,000000,23.7631,23.8129,23.5158,23.7142,20949.71414856,0
6288.HK,D,20140915,000000,23.7142,24.1101,23.7142,23.7142,6679.03763664,0
6288.HK,D,20140916,000000,23.7142,23.7142,23.7142,23.7142,0,0
6288.HK,D,20140917,000000,23.7631,23.9126,23.7142,23.9126,7589.633158272,0
6288.HK,D,20140918,000000,23.7142,24.1599,23.7142,24.1599,16394.730823392,0
6288.HK,D,20140919,000000,24.3065,24.7024,24.3065,24.505,27932.617911912,0
6288.HK,D,20140922,000000,24.4551,24.8021,24.4551,24.5548,23074.771318536,0
6288.HK,D,20140923,000000,24.7024,24.7024,24.4052,24.505,4857.846593376,0
6288.HK,D,20140924,000000,24.4551,25.0973,24.4551,24.9975,10019.559313464,0
6288.HK,D,20140925,000000,25.197,25.4931,25.197,25.2957,99281.989037496,0
6288.HK,D,20140926,000000,25.2957,25.2957,25.2957,25.2957,7894.502143488,0
6288.HK,D,20140929,000000,25.0474,25.197,24.8998,24.9975,35219.387801976,0
6288.HK,D,20140930,000000,24.8998,25.0474,24.8998,25.0474,10019.559313464,0
6288.HK,D,20141003,000000,24.7024,25.6906,24.7024,25.6407,78940.00714236,0
6288.HK,D,20141006,000000,25.6906,25.9369,25.6906,25.888,72259.966647216,0
6288.HK,D,20141007,000000,25.6906,25.6906,25.4433,25.4433,6982.903763352,0
6288.HK,D,20141008,000000,26.2819,26.2819,25.4931,25.7404,6982.903763352,0
6288.HK,D,20141009,000000,26.1851,26.3816,26.1363,26.1851,27932.617911912,0
6288.HK,D,20141010,000000,26.0864,27.1235,24.7024,26.925,183990.43829486,0
6288.HK,D,20141013,000000,26.8762,27.1723,26.1363,26.3317,36129.983323608,0
6288.HK,D,20141014,000000,26.3816,26.4813,26.1851,26.1851,26111.426868648,0
6288.HK,D,20141015,000000,26.1851,26.235,26.1851,26.235,16394.730823392,0
6288.HK,D,20141016,000000,25.7404,26.5312,25.6906,25.9369,36736.712718528,0
6288.HK,D,20141017,000000,26.4813,26.7775,25.9867,25.9867,61329.81181212,0
6288.HK,D,20141020,000000,26.235,26.8762,26.235,26.3317,2731.786564896,0
6288.HK,D,20141021,000000,26.6787,26.8263,26.235,26.58,234692.9585401,0
6288.HK,D,20141022,000000,25.9867,26.1851,25.888,25.9867,7286.769890064,0
6288.HK,D,20141023,000000,25.9867,25.9867,25.9867,25.9867,1215.464506848,0
6288.HK,D,20141024,000000,25.542,25.7893,25.542,25.7404,23377.634586744,0
6288.HK,D,20141027,000000,25.7893,25.7893,25.6906,25.6906,13966.810385208,0
6288.HK,D,20141028,000000,25.6906,25.6906,25.6906,25.6906,0,0
6288.HK,D,20141029,000000,25.6906,25.6906,25.5908,25.5908,6072.30824172,0
6288.HK,D,20141030,000000,25.6407,26.1363,25.5908,26.1363,11840.750356728,0
