<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
28444.HK,D,20250318,000000,0.098,0.109,0.098,0.109,1355000,0
28444.HK,D,20250319,000000,0.103,0.111,0.103,0.11,620000,0
28444.HK,D,20250320,000000,0.103,0.103,0.098,0.098,25000,0
28444.HK,D,20250321,000000,0.1,0.101,0.088,0.088,157500,0
28444.HK,D,20250324,000000,0.093,0.099,0.093,0.099,215000,0
28444.HK,D,20250325,000000,0.092,0.092,0.082,0.085,465000,0
28444.HK,D,20250326,000000,0.084,0.086,0.084,0.085,70000,0
28444.HK,D,20250327,000000,0.086,0.09,0.086,0.086,227500,0
28444.HK,D,20250328,000000,0.094,0.094,0.088,0.09,205000,0
28444.HK,D,20250331,000000,0.08,0.085,0.077,0.078,260000,0
28444.HK,D,20250401,000000,0.08,0.084,0.077,0.077,120000,0
28444.HK,D,20250402,000000,0.07,0.077,0.07,0.075,32500,0
28444.HK,D,20250403,000000,0.066,0.066,0.066,0.066,5000,0
28444.HK,D,20250407,000000,0.044,0.044,0.027,0.028,55000,0
28444.HK,D,20250408,000000,0.042,0.044,0.036,0.039,4462500,0
28444.HK,D,20250409,000000,0.028,0.04,0.028,0.039,2220000,0
28444.HK,D,20250410,000000,0.044,0.05,0.043,0.046,1095000,0
28444.HK,D,20250411,000000,0.036,0.036,0.03,0.036,12082500,0
28444.HK,D,20250414,000000,0.036,0.042,0.036,0.039,4167500,0
28444.HK,D,20250415,000000,0.039,0.039,0.035,0.039,1242500,0
28444.HK,D,20250416,000000,0.033,0.033,0.03,0.031,1570000,0
28444.HK,D,20250417,000000,0.035,0.037,0.035,0.036,1010000,0
