<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83001.HK,D,20220301,000000,158.325,159.368,158.325,159.368,1107.4665950468,0
83001.HK,D,20220302,000000,150.777,150.777,150.777,150.777,0,0
83001.HK,D,20220303,000000,148.343,148.343,148.343,148.343,0,0
83001.HK,D,20220304,000000,142.632,142.632,142.334,142.334,1308.8241577826,0
83001.HK,D,20220307,000000,141.589,141.589,141.589,141.589,0,0
83001.HK,D,20220308,000000,138.957,138.957,136.126,136.126,503.39390683945,0
83001.HK,D,20220309,000000,129.769,129.769,129.769,129.769,0,0
83001.HK,D,20220310,000000,129.769,129.769,129.769,129.769,0,0
83001.HK,D,20220311,000000,125.15,125.15,125.15,125.15,0,0
83001.HK,D,20220314,000000,121.326,121.326,121.326,121.326,0,0
83001.HK,D,20220315,000000,118.396,118.396,113.629,113.629,1006.7878136789,0
83001.HK,D,20220316,000000,121.674,121.674,121.178,121.674,704.75146957523,0
83001.HK,D,20220317,000000,132.104,134.388,132.104,134.388,50.339390683945,0
83001.HK,D,20220318,000000,139.056,139.056,139.056,139.056,0,0
83001.HK,D,20220321,000000,136.673,136.673,136.673,136.673,805.43025094312,0
83001.HK,D,20220322,000000,131.756,132.202,131.756,131.756,1258.4847670986,0
83001.HK,D,20220323,000000,134.984,134.984,134.984,134.984,0,0
83001.HK,D,20220324,000000,136.076,136.076,132.104,132.104,2617.6483155651,0
83001.HK,D,20220325,000000,129.967,129.967,129.471,129.471,201.35756273578,0
83001.HK,D,20220328,000000,130.315,130.315,130.315,130.315,151.01817205183,0
83001.HK,D,20220329,000000,135.58,138.41,135.58,137.914,1283.6544624406,0
83001.HK,D,20220330,000000,139.901,148.244,139.901,148.244,1208.1453764147,0
83001.HK,D,20220331,000000,152.167,153.359,152.167,153.359,130.88241577826,0
83001.HK,D,20220401,000000,152.366,152.912,152.366,152.912,468.15633336069,0
83001.HK,D,20220404,000000,154.353,161.107,154.353,161.107,553.73329752339,0
83001.HK,D,20220406,000000,166.023,172.38,166.023,172.38,1167.8738638675,0
83001.HK,D,20220407,000000,167.364,173.87,167.364,167.364,3644.5718855176,0
83001.HK,D,20220408,000000,166.668,166.668,166.619,166.668,548.699358455,0
83001.HK,D,20220411,000000,165.079,165.079,161.255,161.255,1756.8447348697,0
83001.HK,D,20220412,000000,154.799,154.799,154.799,154.799,604.07268820734,0
83001.HK,D,20220413,000000,155.048,155.048,155.048,155.048,0,0
83001.HK,D,20220414,000000,156.587,158.077,156.587,158.077,664.47995702807,0
83001.HK,D,20220419,000000,157.729,157.729,156.835,156.835,599.03874913895,0
83001.HK,D,20220420,000000,157.034,157.034,156.835,156.835,266.79877062491,0
83001.HK,D,20220421,000000,154.948,154.948,154.601,154.601,266.79877062491,0
83001.HK,D,20220422,000000,152.416,152.763,152.416,152.763,100.67878136789,0
